,dataset,image_name,c1,c2,c3,c4,c5,c_total,scaled_MOS_quality,SD,MOS_zscore,set
1164,koniq,240236110.jpg,0,2,30,62,8,102,3.74509803921569,0.624361448214029,72.8235294117647,training
1165,koniq,2403326474.jpg,0,20,77,13,0,110,2.93636363636364,0.546503023439813,51.11875,training
1166,koniq,2405333928.jpg,1,22,74,12,0,109,2.88990825688073,0.582768767136427,51.0593220338983,validation
1167,koniq,2405495711.jpg,2,39,55,9,0,105,2.67619047619048,0.657723903017621,45.5045871559633,training
1168,koniq,240689125.jpg,2,15,55,33,1,106,3.15094339622642,0.740559027327312,58.40625,training
1169,koniq,2407446104.jpg,0,7,55,46,0,108,3.36111111111111,0.60308139177812,63.425,training
1170,koniq,2409675838.jpg,0,72,39,2,0,113,2.38053097345133,0.523016389916574,37.1890756302521,test
1171,koniq,2410920428.jpg,0,0,14,84,10,108,3.96296296296296,0.472138224769331,80.843220338983,training
1172,koniq,2410933503.jpg,0,0,31,72,6,109,3.77064220183486,0.538052515730571,73.66875,training
1173,koniq,2413968824.jpg,22,53,24,1,0,100,2.04,0.709531072916714,27.7361111111111,training
1174,koniq,2415334988.jpg,3,50,48,2,0,103,2.47572815533981,0.591519482286928,38.4094827586207,test
1175,koniq,2415583702.jpg,21,56,25,4,0,106,2.11320754716981,0.759959331204871,29.3156779661017,validation
1176,koniq,2415943373.jpg,0,1,41,57,2,101,3.59405940594059,0.550966747123312,70.9285714285714,training
1177,koniq,2416231204.jpg,0,12,70,23,1,106,3.12264150943396,0.596862115187647,57.5921052631579,validation
1178,koniq,2417107784.jpg,0,5,62,34,1,102,3.30392156862745,0.576593198502975,61.5257009345794,training
1179,koniq,2418067534.jpg,7,78,28,0,0,113,2.1858407079646,0.526929660634735,32.1281512605042,test
1180,koniq,2421141390.jpg,7,59,33,2,0,101,2.2970297029703,0.625212835048123,34.3716216216216,training
1181,koniq,2421862008.jpg,0,0,17,93,3,113,3.87610619469027,0.403837470905947,75.7435897435897,training
1182,koniq,2422029745.jpg,8,82,10,1,0,101,2.03960396039604,0.467349806444978,27.0486111111111,test
1183,koniq,2422172125.jpg,5,64,33,5,0,107,2.35514018691589,0.647962502534314,34.6875,training
1184,koniq,242395156.jpg,56,40,5,0,0,101,1.4950495049505,0.593696258641363,13.4090909090909,training
1185,koniq,242503451.jpg,38,55,7,1,0,101,1.71287128712871,0.637755966861406,17.9772727272727,training
1186,koniq,2425646672.jpg,0,19,75,16,0,110,2.97272727272727,0.56599495749514,53.7860169491525,training
1187,koniq,2426998006.jpg,0,9,75,22,0,106,3.12264150943396,0.529201198369576,57.5304347826087,training
1188,koniq,2428050358.jpg,1,14,100,24,0,139,3.05755395683453,0.548645026243004,57.4413793103448,training
1189,koniq,2429849599.jpg,0,8,59,33,2,102,3.2843137254902,0.635227424470831,63.5428571428571,training
1190,koniq,2431828879.jpg,1,18,64,23,1,107,3.04672897196262,0.678277195660231,54.4516806722689,training
1191,koniq,2433641656.jpg,0,16,76,16,2,110,3.03636363636364,0.604680106910321,55.2455752212389,validation
1192,koniq,2434624532.jpg,11,97,29,0,0,137,2.13138686131387,0.526049626491634,28.9230769230769,training
1193,koniq,2437860365.jpg,0,1,34,66,0,101,3.64356435643564,0.501680344758325,71.725,validation
1194,koniq,2444482022.jpg,1,47,55,3,0,106,2.56603773584906,0.569358334309913,42.4902912621359,training
1195,koniq,244484608.jpg,40,54,5,0,0,99,1.64646464646465,0.576993108456905,16.0441176470588,training
1196,koniq,2444937456.jpg,0,1,51,60,1,113,3.53982300884956,0.535113443080872,67.7173913043478,training
1197,koniq,2447131470.jpg,0,24,67,11,0,102,2.87254901960784,0.574569466497057,50.2,training
1198,koniq,2447797924.jpg,0,47,51,1,0,99,2.53535353535354,0.521245198933135,41.65,validation
1199,koniq,2448776548.jpg,2,9,70,28,1,110,3.15454545454545,0.652255981105123,56.75625,test
1200,koniq,2451920772.jpg,0,4,50,50,3,107,3.48598130841122,0.619867392716369,65.8214285714286,training
1201,koniq,2455942045.jpg,0,7,80,18,1,106,3.12264150943396,0.510887746288924,57.7837837837838,training
1202,koniq,2459843879.jpg,2,6,46,50,1,105,3.4,0.701646415445623,63.7,test
1203,koniq,2459857216.jpg,0,0,46,92,1,139,3.67625899280576,0.484780352745111,75.25,training
1204,koniq,2460847286.jpg,7,56,41,3,1,108,2.39814814814815,0.696316272737311,36.3349056603774,validation
1205,koniq,2461703201.jpg,0,5,48,50,0,103,3.43689320388349,0.588615905800381,68.5894495412844,training
1206,koniq,246188030.jpg,71,31,3,0,0,105,1.35238095238095,0.536745040121693,10.35,training
1207,koniq,2464934588.jpg,0,48,50,2,0,100,2.54,0.539734315485991,40.7986111111111,training
1208,koniq,2465673065.jpg,3,47,45,3,0,98,2.48979591836735,0.613337968069768,39.3738532110092,training
1209,koniq,2466673147.jpg,0,1,38,66,2,107,3.64485981308411,0.536451240088433,69.5603448275862,test
1210,koniq,2471109874.jpg,38,66,5,1,0,110,1.71818181818182,0.592488426423846,18.6049107142857,training
1211,koniq,2473676566.jpg,45,58,2,0,0,105,1.59047619047619,0.531602043450486,15.0608695652174,training
1212,koniq,2473938827.jpg,1,4,54,50,0,109,3.40366972477064,0.610392497512353,63.6440677966102,training
1213,koniq,2474265369.jpg,6,38,47,9,1,101,2.61386138613861,0.774213110580065,40.6717391304348,test
1214,koniq,2474539087.jpg,0,12,81,9,0,102,2.97058823529412,0.455024367815358,51.0298165137615,training
1215,koniq,2475938786.jpg,12,63,30,3,0,108,2.22222222222222,0.674409860868105,31.3875,training
1216,koniq,2476813465.jpg,0,7,78,16,0,101,3.08910891089109,0.471147745425787,54.5114678899083,validation
1217,koniq,2477552466.jpg,26,69,13,0,0,108,1.87962962962963,0.591490949877323,22.1081081081081,training
1218,koniq,2478250944.jpg,0,18,70,39,1,128,3.1796875,0.669158523760446,61.125,training
1219,koniq,2479736959.jpg,0,0,52,49,1,102,3.5,0.521801904675301,68.5894495412844,training
1220,koniq,2481588554.jpg,65,38,5,0,0,108,1.44444444444444,0.585388014675614,12.7163865546218,training
1221,koniq,2486040810.jpg,0,9,73,31,0,113,3.19469026548673,0.564712428074901,57.5304347826087,test
1222,koniq,2488865108.jpg,0,1,51,51,5,108,3.55555555555556,0.601141178518743,66.8625,training
1223,koniq,2489035588.jpg,3,50,47,2,0,102,2.47058823529412,0.592124591400669,40.9142857142857,training
1224,koniq,2489209226.jpg,0,17,72,14,0,103,2.97087378640777,0.550513319808434,54.8805309734513,training
1225,koniq,2490462635.jpg,0,13,63,25,0,101,3.11881188118812,0.604766545253146,58.3608490566038,training
1226,koniq,2491353954.jpg,1,37,59,7,0,104,2.69230769230769,0.608626068135469,47.287610619469,test
1227,koniq,2492228578.jpg,11,65,28,3,0,107,2.21495327102804,0.659159518918379,31.1756756756757,test
1228,koniq,2495556421.jpg,0,0,16,80,6,102,3.90196078431373,0.456196152044242,78.6875,training
1229,koniq,2495772957.jpg,2,39,63,7,0,111,2.67567567567568,0.620295562426965,45.8156779661017,training
1230,koniq,249590486.jpg,0,10,51,42,1,104,3.32692307692308,0.660131021009601,62.39375,training
1231,koniq,2496466506.jpg,45,53,5,0,0,103,1.61165048543689,0.58129351549086,16.1376146788991,training
1232,koniq,2500167386.jpg,0,0,15,87,12,114,3.97368421052632,0.488097740026813,79.4807692307692,training
1233,koniq,2500618710.jpg,0,3,34,62,3,102,3.63725490196078,0.593516382889227,71.0891304347826,validation
1234,koniq,2501256504.jpg,1,34,61,8,0,104,2.73076923076923,0.611075277500422,47.0889423076923,training
1235,koniq,2502332369.jpg,0,3,60,43,0,106,3.37735849056604,0.542530757323038,66.4393203883495,training
1236,koniq,2503231447.jpg,0,19,65,20,0,104,3.00961538461538,0.615262077045495,54.9535398230088,training
1237,koniq,2503685415.jpg,0,15,74,17,1,107,3.03738317757009,0.581559932907514,53.9137931034483,training
1238,koniq,2503869220.jpg,1,45,46,7,1,100,2.62,0.678381913233261,42.018691588785,validation
1239,koniq,2504686366.jpg,0,0,45,65,1,111,3.6036036036036,0.509532393104952,72.0338983050847,training
1240,koniq,2508139577.jpg,18,47,40,2,0,107,2.24299065420561,0.750359932441571,32.95,training
1241,koniq,2508976529.jpg,0,0,26,81,0,107,3.75700934579439,0.430907806436227,76.8365384615385,training
1242,koniq,2510458503.jpg,0,0,38,59,9,106,3.72641509433962,0.609965164780893,74.3173913043478,test
1243,koniq,2512779647.jpg,0,19,63,29,0,111,3.09009009009009,0.654349775100159,57.6120689655172,training
1244,koniq,2515829883.jpg,0,1,34,68,2,105,3.67619047619048,0.527972138237027,73.0260869565217,training
1245,koniq,2517368566.jpg,3,47,48,7,0,105,2.56190476190476,0.663959705737096,43.28125,training
1246,koniq,2517718928.jpg,0,2,49,65,7,123,3.6260162601626,0.619338277012477,73.0681818181818,test
1247,koniq,2519235976.jpg,8,76,21,0,0,105,2.12380952380952,0.513195833352107,31.2766990291262,training
1248,koniq,251925288.jpg,13,63,29,1,0,106,2.16981132075472,0.639519136512629,31.525,training
1249,koniq,2519479147.jpg,0,1,61,46,3,111,3.45945945945946,0.568631271863871,66.5657894736842,validation
1250,koniq,25239707.jpg,0,0,10,67,25,102,4.14705882352941,0.569819475035116,84.275641025641,training
1251,koniq,252435496.jpg,7,67,34,0,0,108,2.25,0.565768024851109,33.3125,training
1252,koniq,2527050529.jpg,0,0,58,66,6,130,3.6,0.578691386604494,73.3414179104478,training
1253,koniq,2528064728.jpg,1,6,81,14,0,102,3.05882352941176,0.483869088992539,57.325,training
1254,koniq,2529798721.jpg,1,45,51,6,1,104,2.625,0.656372792487963,44.2942477876106,training
1255,koniq,2530204171.jpg,0,0,27,74,5,106,3.79245283018868,0.511151475677369,73.2051282051282,training
1256,koniq,2532088252.jpg,0,0,42,71,1,114,3.64035087719298,0.500038812342383,70.945652173913,training
1257,koniq,253771260.jpg,4,58,29,8,0,99,2.41414141414141,0.700001472448903,37.7125,training
1258,koniq,2537782042.jpg,0,3,60,39,1,103,3.36893203883495,0.559942070920715,67.2291666666667,training
1259,koniq,2538038277.jpg,0,6,31,68,4,109,3.64220183486239,0.645826140172365,68.8025210084034,validation
1260,koniq,2539036531.jpg,0,1,47,54,4,106,3.57547169811321,0.584695495964266,70.5656779661017,training
1261,koniq,2539083530.jpg,0,15,72,14,0,101,2.99009900990099,0.538424544480478,53.6959459459459,training
1262,koniq,2539097876.jpg,0,11,68,26,1,106,3.16037735849057,0.603746910911237,58.3340336134454,training
1263,koniq,2539818768.jpg,5,63,56,1,0,125,2.424,0.585634478096606,40.1707317073171,test
1264,koniq,2540676775.jpg,0,52,53,1,0,106,2.5188679245283,0.520643047000473,41.8455882352941,training
1265,koniq,2542492471.jpg,4,51,51,3,0,109,2.48623853211009,0.61786188824524,40.8869565217391,validation
1266,koniq,2545877303.jpg,1,46,44,5,0,96,2.55208333333333,0.613356454560378,39.7357142857143,training
1267,koniq,2547820942.jpg,1,1,31,67,2,102,3.66666666666667,0.58586203446916,74.3738938053097,training
1268,koniq,2549004146.jpg,1,52,48,5,0,106,2.5377358490566,0.604341882142988,41.7740384615385,test
1269,koniq,254969296.jpg,0,27,49,23,0,99,2.95959595959596,0.713130378771207,51.7478991596639,training
1270,koniq,255478501.jpg,68,29,2,0,0,99,1.33333333333333,0.515078753637713,8.76470588235294,training
1271,koniq,2555211479.jpg,0,22,75,7,0,104,2.85576923076923,0.510439925066912,48.204347826087,training
1272,koniq,2555644998.jpg,0,6,46,49,0,101,3.42574257425743,0.605748044214182,66.55,test
1273,koniq,2557729909.jpg,0,0,36,88,2,126,3.73015873015873,0.480211593574306,77.1280487804878,test
1274,koniq,255857546.jpg,0,2,25,66,9,102,3.80392156862745,0.614014797871709,75.1806722689076,validation
1275,koniq,255984640.jpg,3,37,57,9,0,106,2.67924528301887,0.669714506499324,43.2125,training
1276,koniq,255985226.jpg,22,69,12,0,0,103,1.90291262135922,0.569047417073793,24.640756302521,training
1277,koniq,2562592972.jpg,5,60,34,2,0,101,2.32673267326733,0.601812444056936,33.0754310344828,training
1278,koniq,2564368557.jpg,0,6,54,38,3,101,3.37623762376238,0.645778369853231,66.0917431192661,training
1279,koniq,2567523621.jpg,1,12,74,25,1,113,3.11504424778761,0.623243422826171,56.4230769230769,training
1280,koniq,2568268182.jpg,0,27,61,13,0,101,2.86138613861386,0.616923057930193,47.5586956521739,test
1281,koniq,2569693875.jpg,0,0,28,81,4,113,3.78761061946903,0.490104351746142,74.2628205128205,training
1282,koniq,2569774614.jpg,7,59,35,4,0,105,2.34285714285714,0.662579043594792,37.1216216216216,training
1283,koniq,2569803000.jpg,0,4,88,16,1,109,3.12844036697248,0.453401086260373,57.8815789473684,validation
1284,koniq,2569997123.jpg,0,1,45,55,0,101,3.53465346534653,0.520852309885318,71.9197247706422,training
1285,koniq,2570828036.jpg,0,1,45,66,0,112,3.58035714285714,0.513570663351039,70.1025641025641,training
1286,koniq,257114018.jpg,6,35,41,24,0,106,2.78301886792453,0.861943727929383,46.99375,training
1287,koniq,2571521736.jpg,0,12,69,23,1,105,3.12380952380952,0.599603043290984,58.2478260869565,training
1288,koniq,2574200121.jpg,0,16,72,15,1,104,3.00961538461538,0.582848584105705,55.7828947368421,training
1289,koniq,25742613.jpg,38,62,3,1,0,104,1.68269230769231,0.578991810008362,17.0769230769231,training
1290,koniq,257457837.jpg,3,56,41,5,0,105,2.45714285714286,0.635921067740018,38.74375,test
1291,koniq,2575730355.jpg,0,12,65,29,0,106,3.16037735849057,0.603746910911237,60.1621621621622,training
1292,koniq,2576250575.jpg,0,30,66,15,0,111,2.86486486486486,0.625030711776142,50.5,training
1293,koniq,2578696926.jpg,1,0,24,79,3,107,3.77570093457944,0.537436458990222,75.6150442477876,training
1294,koniq,2578890441.jpg,0,2,42,61,2,107,3.58878504672897,0.565573194436278,71.7142857142857,training
1295,koniq,2579041082.jpg,0,5,66,35,0,106,3.28301886792453,0.547804570316512,63.5096153846154,test
1296,koniq,2580252988.jpg,2,16,61,25,0,104,3.04807692307692,0.688036571791413,58.6691176470588,training
1297,koniq,2584408449.jpg,0,0,26,75,4,105,3.79047619047619,0.494104436469856,76.35,training
1298,koniq,258502837.jpg,1,29,46,22,0,98,2.90816326530612,0.747321467061863,49.5294117647059,training
1299,koniq,2585752058.jpg,0,10,58,30,1,99,3.22222222222222,0.63173805530579,58.6728971962617,test
1300,koniq,2585795694.jpg,1,27,64,13,0,105,2.84761904761905,0.632165879839856,48.2760869565217,training
1301,koniq,2588726621.jpg,0,3,42,56,0,101,3.52475247524752,0.558463237929599,71.3899082568807,training
1302,koniq,2588767665.jpg,0,7,61,36,0,104,3.27884615384615,0.582207562647962,61.0572033898305,training
1303,koniq,258893048.jpg,2,15,53,33,2,105,3.17142857142857,0.765319727770221,58.475,training
1304,koniq,2589128365.jpg,0,23,65,11,2,101,2.92079207920792,0.643166670729006,51.3642857142857,training
1305,koniq,2590631506.jpg,0,1,21,78,10,110,3.88181818181818,0.554081075474067,78.75625,training
1306,koniq,2593384818.jpg,7,73,25,1,0,106,2.18867924528302,0.554002020748761,31.8445945945946,training
1307,koniq,2596393826.jpg,0,18,68,19,0,105,3.00952380952381,0.596387169276516,53.472972972973,training
1308,koniq,2601194994.jpg,0,18,76,11,0,105,2.93333333333333,0.523792873528243,51.0689655172414,training
1309,koniq,2601219815.jpg,3,34,63,9,0,109,2.71559633027523,0.653930327006632,46.4789915966387,training
1310,koniq,2602273170.jpg,2,38,56,9,0,105,2.68571428571429,0.655073186079906,45.373786407767,training
1311,koniq,260267679.jpg,0,1,34,67,2,104,3.67307692307692,0.529559400892795,71.725,training
1312,koniq,2602795550.jpg,9,66,25,2,0,102,2.19607843137255,0.614014797871709,31.375,training
1313,koniq,2603439486.jpg,0,14,72,21,0,107,3.06542056074766,0.570848888529646,55.4646017699115,training
1314,koniq,2604683646.jpg,0,5,65,30,1,101,3.26732673267327,0.563756846679681,58.3715596330275,test
1315,koniq,2608308562.jpg,0,0,54,48,1,103,3.48543689320388,0.521387245906701,68.1785714285714,training
1316,koniq,2612353606.jpg,0,2,13,85,3,103,3.86407766990291,0.465443994004973,79.375,test
1317,koniq,2614925521.jpg,11,62,27,2,0,102,2.19607843137255,0.645459628792906,29.9885321100917,training
1318,koniq,2615955728.jpg,0,4,49,43,6,102,3.5,0.671189279938938,66.7828947368421,training
1319,koniq,261641635.jpg,0,2,16,74,14,106,3.94339622641509,0.598890858635405,78.6689189189189,training
1320,koniq,2619769686.jpg,0,0,36,67,2,105,3.67619047619048,0.509434794182543,72.0217391304348,training
1321,koniq,2620467173.jpg,1,19,79,13,0,112,2.92857142857143,0.56495691798253,53.6025641025641,test
1322,koniq,2620618611.jpg,0,5,43,51,5,104,3.53846153846154,0.667164364882061,68.9576271186441,training
1323,koniq,262123064.jpg,0,24,65,22,0,111,2.98198198198198,0.64641644305681,53.0868644067797,training
1324,koniq,2621420457.jpg,5,29,59,13,0,106,2.75471698113208,0.727832015610051,45.34375,training
1325,koniq,2622466873.jpg,0,13,75,16,0,104,3.02884615384615,0.52982376203792,57.9174311926606,test
1326,koniq,2624809780.jpg,0,9,75,23,2,109,3.1651376146789,0.585531753699621,57.2375,test
1327,koniq,2624882684.jpg,0,2,44,61,3,110,3.59090909090909,0.579393142588057,70.0504201680672,test
1328,koniq,2627264031.jpg,0,0,40,60,3,103,3.64077669902913,0.539687072220866,74.5810810810811,test
1329,koniq,2630235144.jpg,0,10,75,16,2,103,3.09708737864078,0.569047417073793,57.3876146788991,training
1330,koniq,2631446955.jpg,0,0,17,74,17,108,4.0,0.563699396261691,79.925,training
1331,koniq,2631646011.jpg,0,0,52,57,1,110,3.53636363636364,0.518948703114017,68.85625,training
1332,koniq,2633540206.jpg,0,0,41,62,4,107,3.65420560747664,0.551204576930051,71.5063025210084,training
1333,koniq,2634194915.jpg,2,43,57,2,0,104,2.56730769230769,0.57054603512134,43.4285714285714,training
1334,koniq,26344318.jpg,14,51,33,6,0,104,2.29807692307692,0.774343538977042,33.2948717948718,training
1335,koniq,2634922777.jpg,8,54,38,3,0,103,2.3495145631068,0.667285073925587,35.5137614678899,training
1336,koniq,2636294461.jpg,0,2,45,61,3,111,3.58558558558559,0.579474189063099,67.5546218487395,training
1337,koniq,2636589178.jpg,1,31,48,29,0,109,2.96330275229358,0.768917053569585,54.6973684210526,validation
1338,koniq,2638753115.jpg,4,66,35,1,0,106,2.31132075471698,0.558283211063718,35.5865384615385,training
1339,koniq,2639149999.jpg,0,3,55,48,0,106,3.42452830188679,0.551156588371817,68.0023364485981,training
1340,koniq,2640025600.jpg,2,48,79,8,1,138,2.69565217391304,0.634859552859177,47.2119565217391,test
1341,koniq,264173063.jpg,5,66,36,3,0,110,2.33636363636364,0.609967253253567,34.9705882352941,training
1342,koniq,2641860474.jpg,0,44,51,6,0,101,2.62376237623762,0.597519625594254,42.0972222222222,training
1343,koniq,2642678784.jpg,0,6,79,24,0,109,3.1651376146789,0.500254777086597,60.446261682243,training
1344,koniq,2643679552.jpg,0,0,41,67,1,109,3.63302752293578,0.502964369158374,72.3834745762712,training
1345,koniq,2646059323.jpg,0,6,47,53,3,109,3.48623853211009,0.64714013164307,67.4380530973451,training
1346,koniq,264903403.jpg,0,1,46,56,1,104,3.54807692307692,0.537520515613129,71.3075221238938,training
1347,koniq,2649433967.jpg,9,68,28,2,0,107,2.21495327102804,0.614725546724555,33.1160714285714,training
1348,koniq,2649625286.jpg,0,2,53,51,2,108,3.49074074074074,0.571853362851923,67.6629464285714,training
1349,koniq,2650447326.jpg,28,91,37,1,0,157,2.07006369426752,0.661337511116179,28.4828125,training
1350,koniq,2652397944.jpg,0,0,46,57,0,103,3.55339805825243,0.499571489708456,70.3,test
1351,koniq,2653425342.jpg,0,13,62,34,1,110,3.20909090909091,0.650976042703169,58.4703389830508,training
1352,koniq,2654797164.jpg,0,3,45,48,2,98,3.5,0.596380837295082,71.6357142857143,validation
1353,koniq,2655416178.jpg,0,8,59,34,1,102,3.27450980392157,0.615908935423586,62.125,training
1354,koniq,2655543598.jpg,0,0,33,69,3,105,3.71428571428571,0.513552591013095,73.1138392857143,training
1355,koniq,2656455723.jpg,1,34,68,10,0,113,2.76991150442478,0.612501451274113,48.0818965517241,training
1356,koniq,2657101675.jpg,0,7,69,25,1,102,3.19607843137255,0.563567415143367,61.5504587155963,test
1357,koniq,2659313316.jpg,0,2,46,55,4,107,3.57009345794393,0.600505283038207,71.9345794392523,test
1358,koniq,2664892520.jpg,1,17,102,15,0,135,2.97037037037037,0.517467148582209,54.593984962406,validation
1359,koniq,2667565926.jpg,0,2,41,61,1,105,3.58095238095238,0.550890055709716,69.1554054054054,training
1360,koniq,2670033779.jpg,2,8,85,12,0,107,3.0,0.513956168750047,55.0669642857143,training
1361,koniq,2670820241.jpg,2,45,48,5,0,100,2.56,0.624742371144322,42.25,training
1362,koniq,2672397400.jpg,0,4,39,54,4,101,3.57425742574257,0.637911195284506,67.7300884955752,training
1363,koniq,2676057580.jpg,0,1,25,68,7,101,3.8019801980198,0.566035369569747,73.5131578947368,training
1364,koniq,2676808752.jpg,5,56,45,4,0,110,2.43636363636364,0.642918699145877,37.1197478991597,training
1365,koniq,2676837522.jpg,1,9,59,28,0,97,3.17525773195876,0.629323533618151,60.7720588235294,test
1366,koniq,2678740354.jpg,0,11,73,22,0,106,3.10377358490566,0.550830460184462,58.4553571428571,training
1367,koniq,2679224314.jpg,43,61,4,0,0,108,1.63888888888889,0.554646192409083,17.01875,test
1368,koniq,2680180441.jpg,6,89,42,1,0,138,2.27536231884058,0.550621625380069,34.2864583333333,training
1369,koniq,268066639.jpg,0,13,83,12,0,108,2.99074074074074,0.483278723595215,54.1666666666667,test
1370,koniq,2683241926.jpg,1,3,38,60,4,106,3.59433962264151,0.658689924692404,68.0487288135593,training
1371,koniq,26842976.jpg,6,49,45,6,0,106,2.4811320754717,0.69324814598652,39.5233050847458,training
1372,koniq,26847054.jpg,0,11,61,28,1,101,3.18811881188119,0.62789921623026,58.6794871794872,validation
1373,koniq,2688019250.jpg,0,14,83,10,0,107,2.96261682242991,0.474346295857342,52.8571428571429,validation
1374,koniq,2688943738.jpg,2,25,63,10,1,101,2.83168316831683,0.664368977763006,46.890625,training
1375,koniq,2688944098.jpg,10,76,19,0,0,105,2.08571428571429,0.520988072251728,27.4717391304348,training
1376,koniq,268926698.jpg,0,18,73,14,0,105,2.96190476190476,0.553377905438143,53.4575471698113,training
1377,koniq,2690466413.jpg,3,30,63,11,0,107,2.76635514018692,0.667004557880052,49.0526315789474,training
1378,koniq,2692538398.jpg,0,11,72,23,0,106,3.11320754716981,0.557558533625563,59.1804347826087,training
1379,koniq,2693336679.jpg,1,51,47,2,0,101,2.4950495049505,0.558994854649622,39.9036697247706,training
1380,koniq,2693433475.jpg,0,10,70,22,1,103,3.13592233009709,0.578173996629761,58.8230088495575,training
1381,koniq,269509962.jpg,0,6,72,24,0,102,3.17647058823529,0.51534405898039,58.6763392857143,training
1382,koniq,2696730288.jpg,1,4,44,49,3,101,3.48514851485149,0.672515596639046,67.8175675675676,training
1383,koniq,2698401109.jpg,0,0,29,67,5,101,3.76237623762376,0.531949524889066,76.525,training
1384,koniq,2700852747.jpg,0,15,58,26,1,100,3.13,0.661418738375885,55.5116822429907,test
1385,koniq,2702264162.jpg,0,7,74,28,1,110,3.20909090909091,0.560069696604103,60.5128205128205,training
1386,koniq,2703329173.jpg,0,3,52,52,0,107,3.45794392523365,0.554235387493874,67.0736607142857,training
1387,koniq,2703740653.jpg,0,4,69,26,0,99,3.22222222222222,0.506197419654031,61.2642857142857,validation
1388,koniq,2704389795.jpg,0,2,26,71,7,106,3.78301886792453,0.585616760447309,76.2987288135593,training
1389,koniq,2704811.jpg,1,28,66,9,0,104,2.79807692307692,0.59740226795146,47.3974358974359,training
1390,koniq,2706980942.jpg,0,0,42,57,2,101,3.6039603960396,0.530645039942749,68.375,training
1391,koniq,2709928858.jpg,0,24,61,18,0,103,2.94174757281553,0.639013374287707,51.025,training
1392,koniq,271262860.jpg,1,6,75,31,0,113,3.20353982300885,0.569449797664976,58.8910256410256,training
1393,koniq,2713735764.jpg,0,31,97,11,0,139,2.85611510791367,0.532442431795113,51.568345323741,test
1394,koniq,2715023572.jpg,0,2,31,73,1,107,3.68224299065421,0.524820379715343,75.472972972973,training
1395,koniq,2715181629.jpg,0,7,52,46,0,105,3.37142857142857,0.60854718003592,64.8807339449541,training
1396,koniq,2716631816.jpg,13,83,10,1,0,107,1.99065420560748,0.504607583435334,25.9579831932773,training
1397,koniq,271837545.jpg,0,0,20,71,10,101,3.9009900990099,0.538608401253629,79.4121621621622,training
1398,koniq,2718449902.jpg,0,60,42,1,0,103,2.42718446601942,0.516434642668834,36.1792452830189,training
1399,koniq,2720757001.jpg,7,61,34,0,0,102,2.26470588235294,0.578945278424999,32.8541666666667,test
1400,koniq,272115602.jpg,1,13,64,27,0,105,3.11428571428571,0.640226608233452,57.2767857142857,training
1401,koniq,2722913532.jpg,1,6,67,25,1,100,3.19,0.59789191955967,60.7935779816514,test
1402,koniq,272411695.jpg,46,59,2,0,0,107,1.58878504672897,0.531165877300352,15.2627118644068,training
1403,koniq,2725001053.jpg,7,78,23,0,0,108,2.14814814814815,0.50815434432866,29.9513888888889,training
1404,koniq,2725180694.jpg,0,1,35,73,2,111,3.68468468468468,0.521919220186105,71.0897435897436,training
1405,koniq,272518935.jpg,0,8,70,32,0,110,3.21818181818182,0.564741041277403,57.65,training
1406,koniq,2725531194.jpg,0,0,45,66,0,111,3.59459459459459,0.493196961916072,68.1785714285714,test
1407,koniq,2725531293.jpg,1,27,66,10,0,104,2.81730769230769,0.603620517915844,46.890625,training
1408,koniq,2726553628.jpg,0,2,71,34,0,107,3.29906542056075,0.499338303120032,64.4891304347826,training
1409,koniq,2726774995.jpg,13,76,18,1,0,108,2.06481481481481,0.568209980736327,27.55,validation
1410,koniq,2730274502.jpg,0,41,67,1,0,109,2.63302752293578,0.502964369158374,44.6764705882353,training
1411,koniq,2730850462.jpg,0,3,70,29,1,103,3.27184466019417,0.527557723954033,63.2155963302752,training
1412,koniq,273181633.jpg,0,0,56,46,1,103,3.46601941747573,0.520473652694041,68.679203539823,test
1413,koniq,2734143216.jpg,0,3,53,45,6,107,3.50467289719626,0.649728996853956,68.7331932773109,training
1414,koniq,2736161037.jpg,5,31,65,6,0,107,2.67289719626168,0.65553810439426,46.2571428571429,training
1415,koniq,2737304398.jpg,0,16,75,9,0,100,2.93,0.497569851956243,53.875,test
1416,koniq,273844105.jpg,0,0,12,80,10,102,3.98039215686275,0.46629766035944,79.7368421052632,test
1417,koniq,2739007601.jpg,0,21,67,8,0,96,2.86458333333333,0.535474048054946,51.2071428571429,test
1418,koniq,2739038267.jpg,0,0,27,68,13,108,3.87037037037037,0.597386716944033,77.4934210526316,training
1419,koniq,2741340609.jpg,1,6,54,47,2,110,3.39090909090909,0.66491986887646,62.3550420168067,training
1420,koniq,2741661469.jpg,0,4,53,50,0,107,3.42990654205607,0.568217164383648,69.0046728971963,validation
1421,koniq,2741854107.jpg,10,65,33,2,0,110,2.24545454545455,0.638035454370833,33.3067226890756,training
1422,koniq,2742066850.jpg,14,75,14,2,0,105,2.03809523809524,0.587101903155359,27.5022123893805,training
1423,koniq,274223521.jpg,4,66,28,2,0,100,2.28,0.569954809479212,32.9976635514019,validation
1424,koniq,2743703757.jpg,0,17,78,6,0,101,2.89108910891089,0.466925906306555,52.75,validation
1425,koniq,274390572.jpg,5,59,44,1,1,110,2.4,0.638231501526902,36.5169491525424,test
1426,koniq,2745252477.jpg,0,5,48,46,2,101,3.44554455445545,0.624103317163953,64.5907079646018,training
