,dataset,Image name,MOS,Brightness,Colorfulness,Contrast,Noisiness,Sharpness,scaled_MOS_quality,set
8861,spaq,08862.jpg,35.63,44.13,62.88,50.63,49.75,16.14,2.431063829787234,test
11081,spaq,11082.jpg,26.67,35.5,42.67,36.5,23.6,19.67,2.049787234042553,test
6736,spaq,06737.jpg,17.17,13.33,17.0,19.83,33.67,7.67,1.645531914893617,training
2224,spaq,02225.jpg,77.71,79.29,75.29,77.71,77.43,79.43,4.221702127659574,training
2578,spaq,02579.jpg,42.33,54.0,60.7,59.0,57.0,35.1,2.7161702127659573,training
9271,spaq,09272.jpg,63.33,56.67,61.33,66.0,54.33,60.33,3.6097872340425528,validation
5645,spaq,05646.jpg,29.63,19.13,35.75,26.25,59.25,37.89,2.175744680851064,training
10400,spaq,10401.jpg,45.0,67.0,65.0,61.57,28.57,47.2,2.829787234042553,training
10632,spaq,10633.jpg,23.86,49.29,42.29,48.29,32.14,20.83,1.9302127659574468,training
2022,spaq,02023.jpg,52.5,65.89,71.3,61.1,60.33,45.44,3.1489361702127656,test
2,spaq,00003.jpg,77.25,62.38,72.63,65.75,72.25,82.71,4.202127659574468,training
4750,spaq,04751.jpg,21.5,41.33,49.83,29.83,35.5,16.33,1.8297872340425532,training
1386,spaq,01387.jpg,33.75,58.5,54.82,53.33,35.17,14.75,2.351063829787234,training
7022,spaq,07023.jpg,41.38,28.38,46.75,36.86,60.13,45.75,2.675744680851064,training
5658,spaq,05659.jpg,55.0,59.44,65.33,58.0,58.33,50.6,3.25531914893617,validation
8541,spaq,08542.jpg,14.75,50.75,37.5,39.5,34.0,6.0,1.5425531914893615,training
4547,spaq,04548.jpg,25.71,61.83,52.33,61.83,29.57,20.14,2.008936170212766,training
7969,spaq,07970.jpg,26.29,49.57,49.71,51.0,30.67,16.71,2.0336170212765956,training
3835,spaq,03836.jpg,42.13,51.88,38.43,43.38,36.29,28.38,2.707659574468085,training
1337,spaq,01338.jpg,66.92,58.5,71.0,64.42,82.18,77.64,3.7625531914893617,test
8454,spaq,08455.jpg,55.0,75.0,65.67,66.0,62.33,49.33,3.25531914893617,training
10565,spaq,10566.jpg,12.0,37.0,38.86,28.71,31.71,4.6,1.425531914893617,training
1480,spaq,01481.jpg,77.3,69.9,83.67,77.22,82.1,80.1,4.2042553191489365,training
9134,spaq,09135.jpg,73.2,82.8,82.6,79.2,60.2,67.8,4.029787234042553,training
4480,spaq,04481.jpg,53.86,46.86,57.83,59.0,50.14,63.43,3.2068085106382975,test
8661,spaq,08662.jpg,85.25,88.75,84.0,87.75,85.75,84.25,4.542553191489362,training
1538,spaq,01539.jpg,44.71,56.43,54.0,48.71,66.29,33.14,2.8174468085106383,training
7720,spaq,07721.jpg,24.2,39.8,51.6,48.4,38.0,16.2,1.9446808510638296,training
2804,spaq,02805.jpg,53.47,56.06,68.56,58.61,37.0,46.17,3.1902127659574466,validation
4663,spaq,04664.jpg,71.57,64.43,67.57,68.86,74.86,71.0,3.9604255319148933,training
6652,spaq,06653.jpg,40.33,55.67,46.67,50.33,42.0,21.17,2.6310638297872337,training
11063,spaq,11064.jpg,86.0,86.6,88.67,86.5,86.6,84.5,4.574468085106383,training
4562,spaq,04563.jpg,32.83,42.67,44.4,35.73,26.09,22.55,2.311914893617021,training
6867,spaq,06868.jpg,20.5,19.25,26.0,22.75,32.75,22.75,1.7872340425531914,training
508,spaq,00509.jpg,27.3,33.5,41.2,41.2,38.2,18.1,2.076595744680851,training
4595,spaq,04596.jpg,70.42,68.67,72.0,68.17,60.91,73.73,3.9114893617021274,validation
4963,spaq,04964.jpg,70.29,66.14,64.29,66.43,63.57,63.86,3.9059574468085105,training
9232,spaq,09233.jpg,80.27,78.82,82.09,79.5,79.73,84.3,4.330638297872341,training
3139,spaq,03140.jpg,87.33,83.0,86.44,83.67,74.8,76.56,4.631063829787234,training
4462,spaq,04463.jpg,44.13,55.38,54.63,48.0,51.88,31.63,2.7927659574468087,training
7702,spaq,07703.jpg,57.0,44.4,48.2,57.6,58.4,60.0,3.340425531914893,validation
6893,spaq,06894.jpg,30.8,35.0,39.6,36.6,44.2,16.4,2.225531914893617,training
9400,spaq,09401.jpg,79.57,78.71,78.86,83.43,83.14,81.0,4.3008510638297865,training
9253,spaq,09254.jpg,3.83,2.83,5.0,2.67,14.17,2.67,1.077872340425532,training
6888,spaq,06889.jpg,45.0,46.0,40.75,50.5,45.75,37.5,2.829787234042553,training
4954,spaq,04955.jpg,68.86,63.14,67.0,66.0,56.71,65.0,3.8451063829787233,training
7070,spaq,07071.jpg,31.57,33.57,49.14,45.17,32.57,26.0,2.2582978723404254,training
4461,spaq,04462.jpg,68.75,68.13,66.13,73.13,75.75,70.0,3.840425531914893,test
1948,spaq,01949.jpg,55.56,46.33,65.0,60.44,56.89,50.89,3.2791489361702126,test
2227,spaq,02228.jpg,42.86,53.86,54.57,55.71,45.14,43.43,2.7387234042553192,training
4862,spaq,04863.jpg,80.82,80.55,72.42,77.64,71.25,78.33,4.354042553191489,training
1741,spaq,01742.jpg,32.0,67.88,65.25,60.89,48.25,21.5,2.276595744680851,training
5652,spaq,05653.jpg,25.75,15.14,33.0,24.89,25.63,13.75,2.0106382978723403,training
5896,spaq,05897.jpg,32.58,55.33,55.75,50.92,23.17,15.25,2.301276595744681,training
5937,spaq,05938.jpg,44.64,61.73,68.82,63.45,48.5,34.92,2.814468085106383,training
8701,spaq,08702.jpg,61.75,54.25,62.86,62.71,65.75,70.13,3.5425531914893615,validation
10083,spaq,10084.jpg,35.38,58.38,58.63,53.38,26.63,15.14,2.4204255319148937,training
10761,spaq,10762.jpg,61.71,61.86,68.86,62.57,54.86,56.29,3.540851063829787,training
5487,spaq,05488.jpg,3.38,5.0,9.13,7.63,4.0,4.13,1.058723404255319,training
5435,spaq,05436.jpg,60.86,70.86,67.57,75.86,62.57,55.29,3.5046808510638296,training
10090,spaq,10091.jpg,69.25,74.38,77.13,73.25,69.13,69.14,3.861702127659574,training
9447,spaq,09448.jpg,10.0,40.4,44.8,51.0,41.0,5.6,1.3404255319148937,training
3377,spaq,03378.jpg,22.78,43.3,48.9,33.8,30.78,12.4,1.8842553191489362,training
5811,spaq,05812.jpg,62.5,52.0,69.5,59.0,55.17,58.83,3.574468085106383,training
6895,spaq,06896.jpg,38.25,50.25,48.75,34.5,42.25,6.25,2.5425531914893615,training
2873,spaq,02874.jpg,29.28,41.68,54.63,43.89,32.95,19.84,2.1608510638297873,training
1771,spaq,01772.jpg,41.83,66.77,65.0,51.46,53.54,35.92,2.6948936170212763,training
10674,spaq,10675.jpg,71.57,63.71,64.0,66.86,75.71,78.5,3.9604255319148933,validation
2045,spaq,02046.jpg,42.29,49.5,51.43,37.57,39.29,46.0,2.714468085106383,training
3803,spaq,03804.jpg,25.86,44.43,35.0,33.29,38.0,13.0,2.0153191489361704,training
9352,spaq,09353.jpg,73.57,69.57,67.86,62.57,69.14,67.0,4.045531914893616,training
10189,spaq,10190.jpg,54.29,41.33,53.33,51.14,69.86,64.86,3.225106382978723,training
551,spaq,00552.jpg,46.7,46.27,53.36,53.0,44.91,47.45,2.902127659574468,test
3056,spaq,03057.jpg,26.67,49.29,53.67,46.0,24.0,20.71,2.049787234042553,training
4317,spaq,04318.jpg,50.1,58.45,62.6,55.45,58.1,58.5,3.046808510638298,test
10845,spaq,10846.jpg,10.67,16.33,18.67,13.67,12.6,11.67,1.3689361702127658,training
10089,spaq,10090.jpg,77.5,76.13,80.86,75.75,75.38,73.33,4.212765957446808,training
4759,spaq,04760.jpg,16.2,13.4,34.8,21.0,14.6,10.4,1.6042553191489362,training
6081,spaq,06082.jpg,75.73,75.5,78.4,80.11,81.22,77.55,4.137446808510639,training
265,spaq,00266.jpg,63.83,72.09,71.64,62.17,71.73,77.45,3.6310638297872337,training
985,spaq,00986.jpg,53.44,67.33,75.25,58.0,59.0,43.88,3.1889361702127657,test
6243,spaq,06244.jpg,47.33,63.33,67.0,68.33,60.0,40.33,2.928936170212766,training
10463,spaq,10464.jpg,77.17,71.83,79.5,82.17,71.17,84.0,4.198723404255319,training
9439,spaq,09440.jpg,72.0,64.29,67.43,64.71,69.14,74.14,3.978723404255319,test
7377,spaq,07378.jpg,14.4,24.4,23.6,27.6,16.2,18.8,1.527659574468085,training
4619,spaq,04620.jpg,74.92,79.58,76.46,74.77,69.27,77.75,4.102978723404256,training
6113,spaq,06114.jpg,51.5,58.67,69.83,62.5,50.0,47.5,3.106382978723404,test
8399,spaq,08400.jpg,23.25,38.5,48.25,40.25,37.0,17.25,1.9042553191489362,training
10491,spaq,10492.jpg,89.4,90.67,90.17,90.0,89.17,92.17,4.719148936170213,training
8172,spaq,08173.jpg,71.0,68.2,81.8,74.4,77.8,72.6,3.9361702127659575,training
5718,spaq,05719.jpg,55.43,56.57,63.71,54.43,63.71,46.86,3.2736170212765954,test
4649,spaq,04650.jpg,77.33,76.89,80.5,77.67,69.22,81.88,4.2055319148936166,training
10174,spaq,10175.jpg,79.14,62.83,80.33,79.43,78.57,81.57,4.282553191489361,training
3523,spaq,03524.jpg,20.64,49.08,56.33,40.17,47.75,11.18,1.793191489361702,training
3242,spaq,03243.jpg,88.13,88.06,87.33,85.81,86.44,85.0,4.665106382978723,training
363,spaq,00364.jpg,36.65,38.76,44.17,39.0,31.25,27.47,2.4744680851063827,training
2762,spaq,02763.jpg,72.0,63.35,67.41,62.26,69.0,67.73,3.978723404255319,test
5842,spaq,05843.jpg,63.67,59.83,69.5,70.83,61.33,69.0,3.624255319148936,training
5990,spaq,05991.jpg,71.0,76.0,78.0,79.67,64.0,73.0,3.9361702127659575,test
5033,spaq,05034.jpg,50.2,67.3,67.3,58.7,60.0,39.33,3.051063829787234,validation
5243,spaq,05244.jpg,88.8,85.4,86.6,88.2,90.6,88.4,4.693617021276595,training
10227,spaq,10228.jpg,70.14,71.67,72.67,65.71,74.0,66.29,3.899574468085106,test
11079,spaq,11080.jpg,20.17,42.67,63.5,40.17,25.67,19.33,1.773191489361702,training
39,spaq,00040.jpg,25.17,35.0,34.67,32.5,32.0,17.17,1.9859574468085106,test
7063,spaq,07064.jpg,39.0,39.38,56.0,57.0,37.0,39.0,2.574468085106383,validation
559,spaq,00560.jpg,48.83,65.0,63.5,57.17,53.92,40.5,2.9927659574468084,training
3541,spaq,03542.jpg,62.25,56.17,61.67,62.17,65.25,56.5,3.5638297872340425,training
1168,spaq,01169.jpg,29.11,45.56,56.63,50.0,31.0,22.56,2.1536170212765957,training
1298,spaq,01299.jpg,44.27,64.2,66.0,56.4,52.27,39.5,2.7987234042553193,training
9207,spaq,09208.jpg,38.83,53.33,50.33,41.58,43.67,18.55,2.567234042553191,training
4848,spaq,04849.jpg,30.82,27.55,31.6,26.91,25.2,35.64,2.226382978723404,validation
8832,spaq,08833.jpg,43.5,60.7,70.33,59.1,43.0,29.7,2.7659574468085104,training
3644,spaq,03645.jpg,44.42,58.82,52.91,48.25,38.5,38.45,2.8051063829787233,training
5027,spaq,05028.jpg,65.25,70.38,69.63,63.75,59.25,69.13,3.6914893617021276,test
6223,spaq,06224.jpg,75.29,65.86,67.57,65.86,68.71,70.86,4.118723404255319,training
3208,spaq,03209.jpg,46.67,61.5,66.0,60.5,41.33,35.33,2.900851063829787,training
7512,spaq,07513.jpg,74.17,66.0,72.33,74.0,68.83,75.83,4.071063829787234,training
6625,spaq,06626.jpg,40.67,51.0,55.5,49.0,41.5,29.17,2.645531914893617,training
4430,spaq,04431.jpg,53.38,40.75,62.38,54.25,53.25,51.38,3.186382978723404,validation
1221,spaq,01222.jpg,31.0,67.5,62.63,62.25,51.88,26.0,2.234042553191489,test
6997,spaq,06998.jpg,77.33,76.42,75.08,66.75,83.64,82.11,4.2055319148936166,training
7806,spaq,07807.jpg,21.5,22.5,29.33,26.67,34.0,32.17,1.8297872340425532,training
2507,spaq,02508.jpg,79.33,80.45,80.45,76.25,78.75,84.18,4.2906382978723405,training
10872,spaq,10873.jpg,70.67,70.0,79.33,77.5,76.67,80.17,3.922127659574468,test
3381,spaq,03382.jpg,71.44,67.4,75.4,72.2,84.11,67.0,3.9548936170212765,training
9340,spaq,09341.jpg,68.0,65.0,74.63,65.5,59.75,64.13,3.808510638297872,validation
633,spaq,00634.jpg,69.83,65.5,67.33,69.5,82.2,76.5,3.886382978723404,validation
1039,spaq,01040.jpg,37.75,52.63,55.43,47.75,33.25,26.63,2.521276595744681,training
6462,spaq,06463.jpg,42.14,50.86,60.43,56.0,64.57,30.29,2.7080851063829785,test
8034,spaq,08035.jpg,54.14,60.57,63.43,62.14,51.57,50.57,3.2187234042553188,validation
4364,spaq,04365.jpg,34.0,52.4,45.43,51.93,37.93,26.27,2.361702127659574,training
5921,spaq,05922.jpg,29.33,16.78,26.2,21.3,40.27,31.55,2.162978723404255,training
5888,spaq,05889.jpg,59.6,47.1,61.0,54.5,58.73,62.1,3.451063829787234,validation
10801,spaq,10802.jpg,64.0,60.13,69.38,62.25,69.88,64.13,3.6382978723404253,validation
3620,spaq,03621.jpg,29.58,17.33,30.08,29.5,40.08,26.67,2.1736170212765957,training
6995,spaq,06996.jpg,11.56,55.09,51.36,42.0,30.6,7.89,1.406808510638298,training
4081,spaq,04082.jpg,19.36,24.08,29.33,26.42,20.17,18.91,1.7387234042553192,training
6366,spaq,06367.jpg,74.67,54.33,70.67,59.67,77.33,73.67,4.092340425531915,training
4276,spaq,04277.jpg,60.25,53.08,62.09,57.33,64.55,66.73,3.478723404255319,training
3920,spaq,03921.jpg,68.31,70.31,75.31,70.23,68.46,69.85,3.821702127659574,training
1184,spaq,01185.jpg,26.57,56.14,64.0,62.83,30.29,16.57,2.045531914893617,training
9786,spaq,09787.jpg,40.3,36.91,37.0,39.91,52.18,49.09,2.629787234042553,training
10789,spaq,10790.jpg,43.29,55.86,64.57,59.14,45.57,30.71,2.7570212765957445,training
598,spaq,00599.jpg,28.47,40.41,39.73,40.24,40.75,18.56,2.126382978723404,training
616,spaq,00617.jpg,64.17,63.89,66.11,61.89,57.11,56.68,3.645531914893617,test
6469,spaq,06470.jpg,26.33,52.14,55.43,50.29,16.29,22.0,2.03531914893617,training
3070,spaq,03071.jpg,63.4,74.4,72.8,69.4,67.2,70.2,3.612765957446808,training
10423,spaq,10424.jpg,28.5,54.0,57.33,53.0,40.5,21.25,2.127659574468085,training
6834,spaq,06835.jpg,69.0,74.5,79.5,75.5,61.5,70.5,3.851063829787234,test
6713,spaq,06714.jpg,53.29,66.57,58.71,56.71,58.86,47.29,3.1825531914893617,validation
8333,spaq,08334.jpg,80.83,79.83,82.5,77.17,80.5,82.67,4.354468085106383,training
7742,spaq,07743.jpg,68.6,69.4,78.2,74.8,71.2,65.8,3.834042553191489,validation
1632,spaq,01633.jpg,42.67,64.58,69.36,64.08,43.55,33.17,2.7306382978723405,training
7636,spaq,07637.jpg,14.0,51.0,57.67,50.83,35.5,8.67,1.5106382978723403,training
11078,spaq,11079.jpg,27.17,56.67,62.17,45.83,35.17,19.5,2.071063829787234,training
9609,spaq,09610.jpg,87.17,82.83,90.0,84.67,84.83,86.17,4.624255319148936,training
152,spaq,00153.jpg,81.89,73.67,79.89,78.5,76.75,77.0,4.399574468085106,training
7308,spaq,07309.jpg,46.67,78.67,66.0,83.0,57.0,35.33,2.900851063829787,validation
8835,spaq,08836.jpg,87.56,84.6,85.5,84.5,89.0,88.3,4.640851063829787,training
6149,spaq,06150.jpg,37.14,67.0,64.43,69.14,16.14,34.29,2.4953191489361704,training
1096,spaq,01097.jpg,62.73,65.0,68.25,65.83,62.91,66.17,3.584255319148936,training
6151,spaq,06152.jpg,21.29,13.71,54.86,18.86,35.29,33.29,1.820851063829787,training
4254,spaq,04255.jpg,65.08,63.17,68.46,65.92,63.85,65.54,3.684255319148936,training
3563,spaq,03564.jpg,81.46,83.08,83.08,84.33,84.08,83.67,4.381276595744681,training
2701,spaq,02702.jpg,67.23,65.5,71.08,71.08,71.31,62.77,3.775744680851064,training
9000,spaq,09001.jpg,54.29,38.57,51.86,45.43,51.71,52.0,3.225106382978723,test
7753,spaq,07754.jpg,40.6,42.8,53.6,43.4,43.0,36.8,2.6425531914893616,training
8422,spaq,08423.jpg,55.2,75.0,69.4,53.8,54.2,45.4,3.2638297872340427,test
7390,spaq,07391.jpg,85.6,83.0,85.0,85.2,80.2,84.6,4.557446808510638,training
1931,spaq,01932.jpg,45.45,52.45,58.73,54.82,39.45,44.55,2.8489361702127662,training
6796,spaq,06797.jpg,50.0,61.5,45.0,61.0,57.5,48.0,3.0425531914893615,test
688,spaq,00689.jpg,29.57,22.71,39.14,38.0,52.83,31.57,2.173191489361702,training
1496,spaq,01497.jpg,58.62,65.08,70.67,64.92,60.31,60.69,3.409361702127659,test
4831,spaq,04832.jpg,18.17,51.0,47.5,35.25,25.42,13.42,1.688085106382979,training
2337,spaq,02338.jpg,29.0,51.36,62.4,46.6,36.73,20.1,2.148936170212766,training
4290,spaq,04291.jpg,62.58,54.85,60.75,59.62,60.17,59.33,3.5778723404255315,training
8192,spaq,08193.jpg,28.8,54.2,49.8,55.2,34.2,18.4,2.1404255319148935,training
1321,spaq,01322.jpg,49.73,55.8,69.6,53.4,58.1,45.73,3.0310638297872337,validation
1601,spaq,01602.jpg,45.08,66.85,59.21,58.57,43.5,28.77,2.833191489361702,test
1932,spaq,01933.jpg,73.9,77.5,78.4,76.5,77.6,72.9,4.059574468085106,training
7396,spaq,07397.jpg,19.0,17.4,25.4,27.0,23.0,29.6,1.7234042553191489,training
4815,spaq,04816.jpg,17.45,30.33,34.0,21.36,24.36,14.36,1.6574468085106382,training
4893,spaq,04894.jpg,37.93,49.87,54.6,43.4,26.86,41.53,2.528936170212766,test
7416,spaq,07417.jpg,72.0,72.4,78.0,76.2,80.6,77.4,3.978723404255319,training
2614,spaq,02615.jpg,59.3,43.3,63.4,53.9,52.5,50.0,3.438297872340425,training
8942,spaq,08943.jpg,70.71,76.0,63.43,67.0,81.67,74.29,3.923829787234042,validation
8800,spaq,08801.jpg,34.4,71.6,60.6,57.0,50.8,29.4,2.378723404255319,training
9808,spaq,09809.jpg,65.38,58.44,64.11,54.56,58.67,58.56,3.6970212765957444,test
8475,spaq,08476.jpg,51.27,39.27,57.2,51.27,39.73,44.09,3.096595744680851,test
4527,spaq,04528.jpg,63.14,65.57,66.67,71.29,48.43,68.43,3.6017021276595744,test
5662,spaq,05663.jpg,33.38,58.75,53.13,44.11,50.0,23.11,2.33531914893617,training
6747,spaq,06748.jpg,71.2,77.8,73.6,73.4,78.2,78.8,3.9446808510638296,test
4585,spaq,04586.jpg,43.77,55.77,57.64,42.92,29.27,33.83,2.7774468085106383,training
8215,spaq,08216.jpg,16.75,52.5,54.75,52.0,38.0,11.0,1.627659574468085,training
2365,spaq,02366.jpg,65.64,67.42,74.91,71.45,64.0,62.55,3.7080851063829785,training
10691,spaq,10692.jpg,22.86,49.29,45.43,42.43,27.14,10.5,1.887659574468085,training
4477,spaq,04478.jpg,57.5,51.5,64.38,61.75,56.5,57.25,3.361702127659574,training
8203,spaq,08204.jpg,71.25,61.25,74.25,74.0,75.75,75.75,3.9468085106382977,test
9510,spaq,09511.jpg,69.88,65.89,70.44,70.44,63.56,64.56,3.888510638297872,test
10380,spaq,10381.jpg,36.83,68.83,76.0,69.67,54.33,30.17,2.482127659574468,training
3423,spaq,03424.jpg,41.67,55.0,62.89,48.3,47.67,30.2,2.688085106382979,training
2493,spaq,02494.jpg,28.17,53.5,47.67,42.09,31.75,17.36,2.1136170212765957,training
4785,spaq,04786.jpg,43.22,48.4,61.6,50.6,58.2,37.3,2.754042553191489,training
7580,spaq,07581.jpg,49.2,60.0,59.4,55.6,48.4,42.6,3.008510638297872,training
7647,spaq,07648.jpg,54.0,36.83,60.83,61.17,46.5,53.17,3.212765957446808,validation
1843,spaq,01844.jpg,20.2,54.6,62.8,49.8,34.1,11.67,1.774468085106383,test
463,spaq,00464.jpg,68.0,63.29,73.71,79.83,70.0,74.29,3.808510638297872,training
5864,spaq,05865.jpg,56.33,56.83,49.17,57.33,57.83,60.83,3.311914893617021,test
3473,spaq,03474.jpg,71.17,64.83,71.36,67.18,71.36,70.45,3.9434042553191486,training
7005,spaq,07006.jpg,72.29,72.29,79.86,79.67,69.29,73.71,3.991063829787234,test
5747,spaq,05748.jpg,26.75,54.43,52.14,50.0,38.86,14.29,2.0531914893617023,test
2386,spaq,02387.jpg,31.64,58.27,59.36,53.09,48.73,24.5,2.2612765957446808,training
6419,spaq,06420.jpg,47.38,47.38,46.13,45.25,41.25,52.5,2.931063829787234,training
4669,spaq,04670.jpg,69.14,62.14,68.57,66.29,70.14,70.14,3.8570212765957446,validation
10192,spaq,10193.jpg,60.0,72.17,79.5,71.57,76.0,44.71,3.4680851063829787,training
3182,spaq,03183.jpg,57.0,46.83,71.5,65.33,57.0,51.67,3.340425531914893,test
7136,spaq,07137.jpg,26.75,33.25,37.75,34.75,20.75,18.75,2.0531914893617023,training
1852,spaq,01853.jpg,74.17,74.67,81.0,78.45,70.42,74.67,4.071063829787234,training
5081,spaq,05082.jpg,73.27,75.3,75.3,80.1,76.3,71.73,4.032765957446808,training
6391,spaq,06392.jpg,40.8,65.3,66.56,64.3,52.2,37.2,2.6510638297872338,training
5492,spaq,05493.jpg,31.67,43.11,38.56,40.56,29.89,15.0,2.2625531914893617,training
6892,spaq,06893.jpg,77.75,72.5,79.5,74.5,79.75,78.0,4.223404255319149,training
1205,spaq,01206.jpg,29.88,70.38,63.13,73.14,52.25,25.38,2.186382978723404,training
2269,spaq,02270.jpg,11.22,36.22,22.44,23.88,20.38,7.13,1.392340425531915,validation
6827,spaq,06828.jpg,83.75,81.5,89.25,84.0,83.75,84.25,4.4787234042553195,training
8683,spaq,08684.jpg,11.11,44.8,46.89,47.33,24.5,10.9,1.387659574468085,training
7762,spaq,07763.jpg,71.2,67.8,71.6,72.6,66.8,69.0,3.9446808510638296,validation
4083,spaq,04084.jpg,66.93,62.6,68.4,67.57,68.4,70.43,3.7629787234042555,training
8113,spaq,08114.jpg,80.5,78.67,79.11,77.22,72.89,73.22,4.340425531914893,training
2455,spaq,02456.jpg,26.91,66.1,59.27,51.45,38.82,16.27,2.06,training
10101,spaq,10102.jpg,66.13,72.25,67.75,74.0,59.5,57.71,3.7289361702127657,validation
863,spaq,00864.jpg,31.54,20.38,36.0,34.0,51.77,48.0,2.2570212765957445,test
5472,spaq,05473.jpg,43.25,32.13,48.38,38.75,27.86,48.0,2.75531914893617,training
3441,spaq,03442.jpg,33.18,32.75,51.5,36.55,45.0,37.64,2.3268085106382976,test
7781,spaq,07782.jpg,76.29,75.43,77.43,76.86,75.86,78.71,4.161276595744681,training
3918,spaq,03919.jpg,76.92,74.23,76.92,77.62,67.42,76.38,4.188085106382979,training
2866,spaq,02867.jpg,65.67,60.53,70.53,63.88,64.69,65.67,3.7093617021276595,test
1848,spaq,01849.jpg,30.75,67.15,68.69,58.77,42.83,24.83,2.223404255319149,training
6233,spaq,06234.jpg,49.67,68.33,56.67,65.0,28.33,29.67,3.028510638297872,test
3463,spaq,03464.jpg,4.17,15.08,13.55,8.17,15.31,9.0,1.092340425531915,test
7557,spaq,07558.jpg,66.2,63.0,73.0,70.4,62.4,62.2,3.731914893617021,training
3909,spaq,03910.jpg,11.31,29.62,40.46,25.25,23.42,9.31,1.3961702127659574,test
5695,spaq,05696.jpg,69.88,68.88,76.0,67.75,73.38,73.88,3.888510638297872,validation
10855,spaq,10856.jpg,47.67,46.5,59.67,54.5,45.17,40.33,2.9434042553191486,training
4646,spaq,04647.jpg,44.0,50.86,63.0,54.43,50.71,41.0,2.7872340425531914,training
4429,spaq,04430.jpg,70.89,68.11,71.78,71.22,72.22,74.67,3.9314893617021274,training
4402,spaq,04403.jpg,37.47,40.36,43.43,40.0,33.57,38.53,2.5093617021276593,training
1038,spaq,01039.jpg,21.0,50.71,43.67,37.29,13.5,9.43,1.8085106382978724,training
6545,spaq,06546.jpg,77.86,76.86,84.43,79.0,76.86,78.0,4.228085106382979,training
906,spaq,00907.jpg,73.31,72.77,75.46,79.0,69.67,74.62,4.034468085106383,training
6038,spaq,06039.jpg,58.44,62.44,62.33,67.44,51.67,68.38,3.4017021276595742,validation
9773,spaq,09774.jpg,19.7,42.09,47.64,42.73,38.36,20.09,1.753191489361702,training
7599,spaq,07600.jpg,61.0,54.2,61.2,58.0,56.2,56.8,3.5106382978723403,validation
2425,spaq,02426.jpg,76.5,72.38,75.13,74.63,69.38,72.88,4.170212765957447,training
6043,spaq,06044.jpg,43.2,48.8,67.1,48.89,50.0,45.2,2.753191489361702,training
8361,spaq,08362.jpg,74.4,74.6,81.2,67.8,74.6,75.8,4.080851063829788,training
7628,spaq,07629.jpg,29.8,44.0,45.8,48.6,38.0,18.8,2.1829787234042555,test
11004,spaq,11005.jpg,16.57,33.29,51.67,41.0,27.14,15.29,1.62,training
7684,spaq,07685.jpg,72.29,62.86,70.57,69.86,77.0,79.67,3.991063829787234,test
10489,spaq,10490.jpg,36.67,38.17,56.67,48.33,33.83,23.0,2.4753191489361703,training
8121,spaq,08122.jpg,63.0,66.5,65.83,64.0,57.0,63.5,3.595744680851064,training
1172,spaq,01173.jpg,70.88,72.63,79.0,75.57,80.57,80.86,3.9310638297872336,validation
9041,spaq,09042.jpg,76.86,69.43,78.29,80.71,79.14,80.43,4.185531914893617,test
10230,spaq,10231.jpg,35.43,67.83,73.0,67.71,51.0,19.86,2.4225531914893614,training
10631,spaq,10632.jpg,14.5,35.43,15.83,32.71,21.5,8.33,1.5319148936170213,training
1574,spaq,01575.jpg,58.69,71.27,65.56,65.2,60.13,58.19,3.4123404255319145,test
5013,spaq,05014.jpg,79.89,71.56,77.0,78.33,78.11,83.44,4.314468085106383,training
2728,spaq,02729.jpg,64.23,57.58,63.42,65.5,67.92,62.5,3.648085106382979,training
384,spaq,00385.jpg,42.63,53.75,55.13,48.83,41.06,33.06,2.728936170212766,training
9755,spaq,09756.jpg,49.11,45.2,56.6,49.8,62.67,50.1,3.0046808510638296,training
5437,spaq,05438.jpg,60.0,41.71,54.43,55.86,54.71,63.86,3.4680851063829787,validation
2127,spaq,02128.jpg,77.88,73.06,76.83,76.28,68.22,81.88,4.228936170212766,training
1477,spaq,01478.jpg,35.22,17.33,43.22,30.67,66.89,46.11,2.4136170212765955,training
10484,spaq,10485.jpg,53.5,54.0,57.33,53.83,51.17,50.83,3.1914893617021276,training
1047,spaq,01048.jpg,44.86,62.29,64.5,59.43,56.14,35.14,2.8238297872340423,validation
9714,spaq,09715.jpg,42.5,69.5,68.75,62.75,39.5,26.5,2.723404255319149,test
6144,spaq,06145.jpg,76.33,57.67,78.33,74.5,84.83,86.0,4.1629787234042555,training
4065,spaq,04066.jpg,80.18,74.5,81.83,73.0,77.09,83.0,4.3268085106382985,training
3571,spaq,03572.jpg,57.0,63.58,64.5,62.17,57.58,60.0,3.340425531914893,validation
1086,spaq,01087.jpg,43.5,56.08,52.42,54.17,26.83,38.67,2.7659574468085104,training
8100,spaq,08101.jpg,78.75,75.88,81.75,77.38,76.88,78.88,4.26595744680851,training
9264,spaq,09265.jpg,24.43,53.86,49.43,47.14,45.14,16.43,1.9544680851063831,training
5019,spaq,05020.jpg,80.25,80.88,84.5,79.5,81.0,79.0,4.329787234042553,training
2313,spaq,02314.jpg,37.4,41.73,64.8,46.1,33.8,28.6,2.506382978723404,training
10384,spaq,10385.jpg,67.83,61.83,71.67,70.33,71.83,75.17,3.801276595744681,training
2583,spaq,02584.jpg,61.73,56.09,55.45,57.18,51.4,53.55,3.541702127659574,test
9670,spaq,09671.jpg,36.5,66.75,70.25,69.25,39.5,25.25,2.4680851063829787,training
